pay_rank,type,pct_stem,early_pay,mid_pay,college_name,state
376,"Private School, Religious, For Sports Fans",14,52200,98100,saint peters college,New Jersey
376,"Engineering, Research University, State School",53,54300,98100,texas a%26m university - kingsville campus,Texas
376,"Business, Private School",4,52100,98100,city university of seattle,Washington
380,"Research University, For Sports Fans, State School",18,53800,98000,kansas state university,Kansas
380,State School,30,54100,98000,university of minnesota - duluth campus,Minnesota
382,"Private School, Religious",11,49900,97900,mount st. mary%27s university - emmitsburg%2c md,Maryland
382,"Liberal Arts School, State School",27,53900,97900,st. mary%27s college of maryland,Maryland
382,Private School,15,51000,97900,stevenson university,Maryland
382,Private School,1,56600,97900,excelsior college,
386,State School,12,51800,97800,ramapo college of new jersey,New Jersey
386,"Research University, For Sports Fans, State School",28,54500,97800,colorado state university,Colorado
386,"Private School, Religious, For Sports Fans",31,54300,97800,valparaiso university,Indiana
386,"Private School, Religious",14,54300,97800,brigham young university - idaho campus,Idaho
386,"Research University, For Sports Fans, State School",33,55100,97800,university at buffalo,New York
391,State School,10,54200,97700,sonoma state university,California
391,"Private School, For Sports Fans",10,57200,97700,quinnipiac university,Connecticut
391,"Liberal Arts School, Private School, Religious",33,48300,97700,hendrix college,Arkansas
394,"Private School, Religious",9,49800,97600,north central college - naperville%2c il,Illinois
395,State School,27,56800,97500,university of maryland university college,Maryland
395,"Research University, For Sports Fans, State School",25,53600,97500,university of wyoming,Wyoming
395,"Art, Private School",0,54300,97500,the juilliard school,New York
398,"Private School, Research University",6,54100,97400,suffolk university,Massachusetts
398,"Research University, State School",22,54500,97400,university of massachusetts - dartmouth campus,Massachusetts
398,"Private School, Religious",4,56100,97400,mount saint mary%27s university - los angeles%2c ca,California
398,Private School,4,57000,97400,manhattanville college,New Jersey
398,State School,31,57300,97400,pennsylvania state university - harrisburg campus,Pennsylvania
403,"Private School, Religious",9,52800,97300,assumption college - worcester%2c ma,Massachusetts
403,"Research University, State School",17,54100,97300,university of colorado - denver campus,Colorado
405,"Research University, For Sports Fans, State School",22,50800,97200,new mexico state university - main campus,New Mexico
405,"Research University, For Sports Fans, State School",22,59500,97200,prairie view a %26 m university,
407,"Research University, For Sports Fans, State School",10,52100,97100,illinois state university,Illinois
407,"Research University, For Sports Fans, State School",19,55100,97100,university of cincinnati,Ohio
410,"Research University, For Sports Fans, State School",20,53900,97000,northern illinois university,Illinois
410,"Private School, Religious",11,55700,97000,universidad adventista de las antillas,
412,"Liberal Arts School, Private School",12,51500,96900,william jewell college,Missouri
412,"Research University, For Sports Fans, State School",31,54900,96900,montana state university - main campus,Montana
412,"Private School, Religious",14,48500,96900,loras college,Iowa
412,"Private School, Religious",5,49400,96900,hamline university,Minnesota
412,"Private School, Religious",0,53400,96900,linfield college - adult degree program,Oregon
417,"Liberal Arts School, Private School, Religious",9,55800,96800,pacific union college,California
417,State School,11,53300,96800,cuny - college of staten island,New York
419,Private School,4,54900,96700,vaughn college of aeronautics and technology,
420,"Private School, Religious",12,50300,96600,lebanon valley college,Pennsylvania
421,"Private School, Religious, Research University",7,51400,96500,biola university,California
422,Private School,25,53200,96400,university of new haven,Connecticut
422,State School,29,51000,96400,university of houston clear lake,Texas
422,State School,33,56200,96400,cuny - city college,New York
425,"Art, Private School",0,46800,96300,new england conservatory of music,NA
425,"Research University, For Sports Fans, State School",24,54000,96300,university of nevada - reno,Nevada
425,"Research University, For Sports Fans, State School",19,48500,96300,university of new mexico,New Mexico
425,"Private School, For Sports Fans",13,52800,96300,monmouth university - west long branch%2c nj,New Jersey
429,"Private School, Religious, Research University, For Sports Fans",10,54100,96200,duquesne university,Pennsylvania
430,"Party School, Research University, For Sports Fans, State School",18,51800,96100,florida state university,Florida
432,"Liberal Arts School, Private School, Religious",22,50700,96000,cornell college - mount vernon%2c ia,Iowa
433,"Research University, For Sports Fans, State School",19,52900,95900,university of kentucky,Kentucky
433,"Private School, Religious, For Sports Fans",9,54600,95900,creighton university,Nebraska
435,"Research University, For Sports Fans, State School",14,53400,95800,utah state university - main campus,Utah
435,"Liberal Arts School, Private School",29,51200,95800,juniata college,Pennsylvania
435,"Liberal Arts School, Private School",19,55600,95800,bryn mawr college,Pennsylvania
435,"Research University, For Sports Fans, State School",13,53700,95800,temple university,Pennsylvania
439,"For Sports Fans, State School",9,52100,95700,rutgers university - camden campus,New Jersey
440,"Art, Private School",0,54600,95500,san francisco art institute,California
441,"Private School, Religious",21,59900,95400,letourneau university,Texas
441,"Sober School, State School",8,53300,95400,cuny - hunter college,New York
443,"Private School, Religious",35,46100,95300,xavier university of louisiana,Louisiana
443,"Private School, Religious",25,48500,95300,carroll college - helena%2c mt,Montana
443,"Party School, Research University, For Sports Fans, State School",15,54100,95300,university of alabama - main campus,Alabama
443,"Party School, Private School, For Sports Fans",7,54400,95300,elon university,North Carolina
447,"Private School, Religious",18,51700,95200,le moyne college,New York
448,"Research University, For Sports Fans, State School",27,52300,95100,mississippi state university,Mississippi
448,State School,19,50800,95100,california state university - los angeles,California
450,"Private School, Religious",6,54700,95000,salve regina university,
450,"Research University, For Sports Fans, State School",16,55100,95000,university of north dakota,North Dakota
450,"Liberal Arts School, Private School, Religious",21,48300,95000,lycoming college,Pennsylvania
453,"For Sports Fans, State School",12,52100,94900,utah valley university,Utah
453,"Private School, Religious",15,52100,94900,messiah college,Pennsylvania
453,"Private School, Religious, For Sports Fans",7,52600,94900,xavier university,Ohio
456,"Private School, Research University",6,55200,94800,adelphi university,New York
456,"Liberal Arts School, Private School",5,48600,94800,bennington college,Vermont
458,"Private School, Religious, Research University, For Sports Fans",13,55000,94700,saint louis university,Missouri
458,"Private School, Religious",9,53500,94700,point loma nazarene university,
458,"Research University, For Sports Fans, State School",21,52200,94700,university of tennessee,Tennessee
458,"Private School, For Sports Fans",12,53100,94700,hampton university,
458,"Private School, Religious, For Sports Fans",8,48900,94700,saint bonaventure university,Pennsylvania
463,State School,0,54100,94600,thomas edison state college,
463,Private School,23,52400,94600,fairleigh dickinson university - teaneck%2c nj,New Jersey
463,"Liberal Arts School, Private School, Religious",13,53200,94600,moravian college and moravian theological seminary,
463,State School,32,60300,94600,pennsylvania state university - erie-behrend college,Pennsylvania
467,"Liberal Arts School, Private School, Religious",15,49600,94500,alma college,Michigan
467,"Business, Private School",2,46000,94500,lynn university,Florida
467,Private School,26,56600,94500,trine university - angola%2c in,
467,"Liberal Arts School, Private School",32,48800,94500,the college of wooster,Ohio
471,"Research University, State School",13,54400,94400,university of massachusetts - boston campus,Massachusetts
471,"Private School, Religious",9,49600,94400,saint edward%27s university,
471,Private School,10,52400,94400,wilkes university,NA
474,State School,14,53000,94300,university of wisconsin - eau claire,Wisconsin
474,"Private School, Religious",15,53200,94300,marymount university - arlington%2c va,Virginia
476,"Private School, Religious",13,49000,94200,benedictine college,
476,"Business, Private School, Religious",8,50200,94200,thomas more college,
476,"Liberal Arts School, Private School, Religious",26,48400,94200,centenary college of louisiana,Louisiana
476,Private School,19,50500,94200,alfred university,New York
476,State School,13,54000,94200,central washington university,Washington
476,State School,12,55300,94200,pennsylvania state university - brandywine campus,Pennsylvania
482,"Private School, Religious",11,50400,94100,mcmurry university,Texas
482,"Private School, Religious, For Sports Fans",9,50500,94100,abilene christian university,Texas
482,Private School,10,52500,94100,westminster college - salt lake city%2c ut,Texas
482,"Liberal Arts School, State School",5,51000,94100,suny - purchase college,New York
486,"For Sports Fans, State School",15,52100,94000,towson university,Maryland
486,"Liberal Arts School, Private School",28,53800,94000,mount holyoke college,Massachusetts
486,Private School,24,54900,94000,dunwoody college of technology,
486,Private School,15,53300,94000,hawaii pacific university,Hawaii
486,Private School,14,53300,94000,new england institute of technology,
491,"Private School, Religious",0,55900,93900,amberton university,
492,"Liberal Arts School, Private School",21,52900,93800,washington college - chestertown%2c md,
492,"Private School, Religious",5,53800,93800,saint mary%27s university of minnesota,
492,Private School,0,53100,93800,john f. kennedy university,
492,"Liberal Arts School, Private School, Religious",19,52900,93800,southwestern university,Texas
492,"Private School, For Sports Fans",11,52400,93800,st. francis college - brooklyn heights%2c ny,
492,"Research University, For Sports Fans, State School",9,52500,93800,ohio university - main campus,Ohio
498,"Research University, For Sports Fans, State School",24,48800,93700,university of texas at el paso,Texas
498,State School,3,56100,93700,louisiana state university - health sciences center%2c shreveport%2c la,Louisiana
500,"Private School, Religious",9,55700,93600,washington adventist university,Washington
